Parent,Investment,Andritz,ATK (Alliant Techsystems),Barrick Gold,Bumitama Agri,Cargill,Chevron,Coal India,Elbit Systems,Gap,Gazprom,GlaxoSmithKline,Glencore Xstrata,Goldcorp,Hyundai Motor Group,Lockheed Martin,Rheinmetall,Royal Dutch Shell,RWE,Samsung Group,Sesa Sterlite,SodaStream International,Vattenfall,Wal-Mart Stores,Zijin Mining,Total
Allianz SE,Bondholding,4.1,9.1,178.8,,1.5,39.6,,,,1174.30,141.5,210,44.4,171.4,0.5,0.1,161.7,140.2,,,,9.1,246.4,,2532.30
,Shareholding,26.9,185.5,493.5,,,712.9,,39.9,39.2,37.6,414.3,23.6,44.5,167.7,407.5,10,1390.30,6.7,254.1,1.2,2.8,,544.8,0.1,4803.00
Argenta Group,Shareholding,,,,,,0.6,,,,,3.9,,,,,,1,,1.7,,,,0.2,,7.3
AXA,Bondholding,,0.4,78.8,,54.5,12.1,,,2.1,12.1,28.4,42.4,,17.8,,,8.9,5.3,,,,0.2,87.8,,350.8
,Shareholding,0.8,11.2,32.1,,,1030.20,0.2,1.3,96.9,51.8,1504.10,105.5,30.9,88.3,172.6,,1996.90,17.1,332.3,,0.1,,629.1,,6101.30
Barclays,Bondholding,,6.4,0,,,,,,,0.5,,0,3.3,,,,,2,,4.9,,,2.2,,19.4
,Shareholding,,2.5,25.7,,,218.3,,2.2,7.8,0.1,4.7,0,2.8,,71.3,,36.9,0.2,1.3,0.2,7.4,,99,,480.7
Belfius Bank,Bondholding,,,,,6.3,,,,,,,,,,,,,,,,,,,,6.3
BNP Paribas,Bondholding,,,1,,3.6,,,,0.4,36.6,13.1,54.8,,5,,,5.6,17.2,,0.3,,2.9,,,140.5
,Shareholding,109.3,1.8,12.6,,,338.1,9.1,,19.9,150.8,123,8.2,11.6,206.3,24.2,0.9,364.9,39.1,290.9,1.2,0.1,,87.8,,1799.80
Commerzbank,Bondholding,,,,,,,,,,1.7,,1.7,,,,,1.3,10.2,,,,1.9,0.8,,17.6
,Shareholding,4.1,,30.8,,,97.9,,,5.1,,0.3,,17.9,,8.7,,,237.9,,,2.7,,58.5,,464
Crédit Agricole,Bondholding,,,1.2,,10.3,,,,,44.9,,37,,,,,7,0.8,,0.7,,,8,,109.9
,Shareholding,5.8,,80.8,1.7,,188.5,2,,31.4,13.7,70.2,161.2,103.2,39.8,13,0.8,290.4,32.4,72.8,2.4,,,127,0.5,1237.60
Crédit Suisse,Bondholding,,,3.8,,14.5,4.6,,,,51.1,12.9,63.2,,32.5,0.1,,33.7,44.1,,14.2,,12.1,57.1,0.6,344.5
,Shareholding,4.8,1.9,50.2,,,546.1,2.3,0.3,21.7,53.4,95.6,35.6,34.4,86.2,93.6,6.7,1891.40,63.5,197.3,5.2,0.3,,280.3,1.4,3472.20
Deutsche Bank,Bondholding,,1.1,2.6,,4.7,1.2,,,,167.1,0.3,89.3,6,1.5,2.3,0.8,2,35.5,,78.3,,0.4,12.6,1.9,407.6
,Shareholding,12.1,7.6,55,0.5,,1327.30,9.9,0.4,96.1,158.4,569.4,60.3,62.7,267.1,93.6,29.1,780.3,93.7,607.3,15.3,1.3,,522.2,1.6,4771.10
HSBC,Bondholding,,,0.9,,10.6,0.9,,,,23.5,4.2,34,,,,3.5,1.8,12.6,,,,2.3,3.5,,97.7
,Shareholding,0.3,,18.3,,,400.3,3.3,,11.9,93,562.7,138.8,23.9,68,50.8,3.2,948.4,6.6,107.4,213.5,0.6,,208.9,1.2,2861.10
ING Group,Bondholding,0.5,,124.6,,39.2,63.4,,,0.4,25.6,129.2,151.5,18.9,3,1.6,,162.4,0.1,,,,0.5,203,1,924.9
,Shareholding,0.4,,109.9,,,81.9,5.7,,27.2,59.4,7.6,43.9,30.3,28.6,,0.2,165.4,12.8,105.3,0.9,,,44.7,0.1,724.3
